District,Year,Respiratory_Cases,Emergency_Visits,Hospital_Admissions,Avg_Treatment_Cost_NPR
Lalitpur,2024,267,168,30,48831
Lalitpur,2020,429,77,78,9493
Lalitpur,2021,657,43,95,42872
Lalitpur,2023,936,132,7,41108
Lalitpur,2025,561,22,25,27040
Lalitpur,2024,905,122,70,25620
Lalitpur,2022,282,87,36,16357
Lalitpur,2020,881,18,59,31304
Lalitpur,2024,249,113,91,28979
Lalitpur,2025,597,30,34,21275
Lalitpur,2021,367,34,91,7229
Lalitpur,2023,224,188,8,11403
Lalitpur,2019,279,112,49,29811
Lalitpur,2025,732,46,25,45124
Lalitpur,2019,624,41,90,47974
Lalitpur,2019,168,124,96,12339
Lalitpur,2022,82,141,60,16775
Lalitpur,2019,747,186,71,16607
Lalitpur,2021,619,168,62,33631
Lalitpur,2025,731,125,58,6716
Lalitpur,2019,565,198,26,21886
Lalitpur,2024,345,25,52,21337
Lalitpur,2022,523,185,44,39951
Lalitpur,2026,710,24,40,38479
Lalitpur,2019,812,187,87,46247
Lalitpur,2020,607,151,45,48466
Lalitpur,2020,198,164,73,45867
Lalitpur,2021,558,111,81,48531
Lalitpur,2023,321,53,89,13388
Lalitpur,2021,190,63,40,36718
Lalitpur,2025,638,169,96,33430
Lalitpur,2026,404,143,44,28108
Lalitpur,2025,779,79,31,11458
Lalitpur,2021,677,38,66,11384
Lalitpur,2022,638,42,71,24013
Lalitpur,2023,791,10,15,5265
Lalitpur,2020,633,133,16,49398
Lalitpur,2022,899,29,49,36941
Lalitpur,2023,259,38,84,22327
Lalitpur,2021,831,143,12,18597
Lalitpur,2021,442,74,97,40774
Lalitpur,2025,852,101,62,14318
Lalitpur,2024,519,115,83,17914
Lalitpur,2024,902,82,39,28224
Lalitpur,2023,734,169,13,27886
Lalitpur,2025,343,127,13,17239
Lalitpur,2022,894,107,53,33797
Lalitpur,2021,667,63,29,33586
Lalitpur,2024,927,127,16,47575
Lalitpur,2025,57,49,26,18233
Lalitpur,2022,352,29,12,45991
Lalitpur,2022,939,73,64,8272
Lalitpur,2021,708,113,97,40820
Lalitpur,2020,645,199,61,34104
Lalitpur,2020,347,24,58,21957
Lalitpur,2023,889,136,33,21322
Lalitpur,2025,353,169,96,14063
Lalitpur,2023,213,127,70,19858
Lalitpur,2021,707,90,45,18744
Lalitpur,2023,568,171,54,30724
Lalitpur,2026,402,22,56,33107
Lalitpur,2022,538,62,42,25217
Lalitpur,2019,65,80,75,18545
Lalitpur,2020,102,75,63,6887
Lalitpur,2026,708,100,57,23209
Lalitpur,2021,933,141,6,17527
Lalitpur,2023,268,103,48,35588
Lalitpur,2021,352,78,78,24667
Lalitpur,2023,487,73,65,27645
Lalitpur,2026,111,165,46,15378
Lalitpur,2025,273,148,8,23751
Lalitpur,2020,723,40,46,39040
Lalitpur,2019,160,184,75,6201
Lalitpur,2024,391,158,82,46366
Lalitpur,2021,368,42,67,28294
Lalitpur,2020,424,191,93,28578
Lalitpur,2020,206,93,20,48799
Lalitpur,2021,607,114,45,49178
Lalitpur,2019,503,117,76,49536
Lalitpur,2024,101,97,38,20450
Lalitpur,2021,172,23,15,7237
Lalitpur,2025,892,183,53,39380
Lalitpur,2026,357,190,52,15979
Lalitpur,2023,514,117,35,29484
Lalitpur,2019,943,174,76,23864
Lalitpur,2024,547,46,30,42242
Lalitpur,2019,610,28,83,11968
Lalitpur,2022,775,62,85,42503
Lalitpur,2019,305,187,22,37242
Lalitpur,2020,151,146,25,38634
Lalitpur,2022,273,185,22,28228
Lalitpur,2020,368,17,28,15251
Lalitpur,2024,609,121,37,22909
Lalitpur,2024,801,41,69,47315
Lalitpur,2025,879,141,52,12904
Lalitpur,2021,533,124,9,15474
Lalitpur,2019,903,54,92,29877
Lalitpur,2021,618,149,43,42855
Lalitpur,2024,351,139,31,43626
Lalitpur,2021,719,181,97,34410
Lalitpur,2019,457,19,43,7421
Lalitpur,2022,444,185,70,11713
Lalitpur,2026,773,143,92,41291
Lalitpur,2019,516,111,97,27783
Lalitpur,2022,422,106,89,44367
Lalitpur,2022,301,16,47,42879
Lalitpur,2026,317,142,91,7565
Lalitpur,2023,500,186,47,25256
Lalitpur,2024,70,40,46,25023
Lalitpur,2025,462,137,30,40895
Lalitpur,2023,368,113,24,23375
Lalitpur,2026,142,30,60,15230
Lalitpur,2022,519,16,60,9576
Lalitpur,2020,216,164,60,22383
Lalitpur,2022,738,24,25,14429
Lalitpur,2019,196,88,79,15922
Lalitpur,2022,110,65,71,47165
Lalitpur,2022,881,117,87,24760
Lalitpur,2023,701,38,89,9227
Lalitpur,2023,308,55,23,38544
Lalitpur,2026,741,186,29,28958
Lalitpur,2024,806,143,72,19070
Lalitpur,2019,90,179,80,21855
Lalitpur,2021,372,187,45,45657
Lalitpur,2025,529,30,23,48170
Lalitpur,2023,675,109,94,8851
Lalitpur,2020,70,71,78,8841
Lalitpur,2024,838,104,83,18384
Lalitpur,2020,796,10,78,40101
Lalitpur,2025,828,57,69,44163
Lalitpur,2021,280,18,30,31703
Lalitpur,2019,254,152,86,15708
Lalitpur,2023,662,38,51,38559
Lalitpur,2025,662,176,38,31022
Lalitpur,2023,504,18,64,37120
Lalitpur,2025,559,79,74,36134
Lalitpur,2024,304,98,91,46455
Lalitpur,2026,897,78,76,47902
Lalitpur,2020,908,55,91,13567
Lalitpur,2025,907,199,93,36162
Lalitpur,2025,763,50,76,25775
Lalitpur,2020,800,29,30,33513
Lalitpur,2020,951,73,65,17509
Lalitpur,2022,541,175,85,15278
Lalitpur,2023,79,115,71,18470
Lalitpur,2024,466,188,52,21953
Lalitpur,2022,505,74,52,29780
Lalitpur,2025,207,167,73,33952
Lalitpur,2025,309,187,74,33268
Lalitpur,2026,332,163,30,5875
Lalitpur,2024,751,98,33,17917
Lalitpur,2019,803,71,18,28379
Lalitpur,2023,633,196,77,8602
Lalitpur,2023,56,109,22,5462
Lalitpur,2026,271,135,21,6408
Lalitpur,2020,463,70,40,23978
Lalitpur,2020,875,194,72,38319
Lalitpur,2024,194,18,16,13000
Lalitpur,2021,214,136,54,43648
Lalitpur,2022,109,58,46,43971
Lalitpur,2023,643,98,37,28892
Lalitpur,2022,351,13,11,7399
Lalitpur,2022,331,161,75,17262
Lalitpur,2022,267,193,78,23863
Lalitpur,2022,679,107,21,37476
Lalitpur,2024,323,148,42,31062
Lalitpur,2024,640,56,37,18501
Lalitpur,2019,224,100,27,40002
Lalitpur,2021,667,108,92,44051
Lalitpur,2026,219,115,30,34259
Lalitpur,2020,426,170,21,49387
Lalitpur,2022,896,43,28,35092
Lalitpur,2019,221,130,95,5207
Lalitpur,2022,570,135,65,33975
Lalitpur,2019,930,146,24,6680
Lalitpur,2025,405,102,50,18229
Lalitpur,2026,242,66,77,14318
Lalitpur,2025,805,174,55,26665
Lalitpur,2023,704,57,85,46498
Lalitpur,2020,545,172,42,41915
Lalitpur,2023,570,81,87,9695
Lalitpur,2026,751,84,12,43221
Lalitpur,2026,196,169,90,24381
Lalitpur,2025,668,89,64,34952
Lalitpur,2019,519,181,40,24583
Lalitpur,2020,922,96,82,34051
Lalitpur,2024,296,19,32,5523
Lalitpur,2019,633,48,68,22150
Lalitpur,2026,380,19,74,13474
Lalitpur,2025,705,188,17,44169
Lalitpur,2026,592,68,51,48832
Lalitpur,2020,746,20,66,44436
Lalitpur,2021,297,165,79,43307
Lalitpur,2026,927,13,44,10418
Lalitpur,2026,408,198,48,39727
Lalitpur,2023,423,193,72,32554
Lalitpur,2023,98,119,98,21111
Lalitpur,2020,544,138,22,49630
Lalitpur,2026,207,198,22,21330
Lalitpur,2020,812,120,88,45902
Lalitpur,2022,749,176,49,45608
Lalitpur,2024,452,181,25,45168
Lalitpur,2022,245,87,88,45153
Lalitpur,2025,170,108,15,46813
Lalitpur,2024,496,54,13,22260
Lalitpur,2021,157,58,33,23386
Lalitpur,2023,957,127,67,23662
Lalitpur,2020,225,142,11,30062
Lalitpur,2019,338,71,96,42114
Lalitpur,2026,575,150,28,21821
Lalitpur,2024,762,39,21,24281
Lalitpur,2026,959,13,51,34561
Lalitpur,2022,252,119,76,30163
Lalitpur,2020,254,55,7,41937
Lalitpur,2022,144,132,23,40234
Lalitpur,2026,562,132,45,35740
Lalitpur,2025,434,62,28,23739
Lalitpur,2025,218,151,55,44895
Lalitpur,2026,950,109,37,26049
Lalitpur,2023,555,55,59,11837
Lalitpur,2024,356,109,36,21791
Lalitpur,2024,120,101,10,41354
Lalitpur,2021,814,104,74,19371
Lalitpur,2025,354,118,98,23973
Lalitpur,2024,357,50,52,26287
Lalitpur,2021,675,23,97,21808
Lalitpur,2019,923,53,62,11074
Lalitpur,2021,696,57,9,31036
Lalitpur,2021,126,99,10,37345
Lalitpur,2025,588,160,40,30255
Lalitpur,2024,233,196,86,46206
Lalitpur,2022,919,83,87,38710
Lalitpur,2024,406,82,25,25196
Lalitpur,2024,60,176,12,46240
Lalitpur,2020,909,83,94,14929
Lalitpur,2026,294,83,8,42561
Lalitpur,2022,450,52,16,39604
Lalitpur,2022,437,42,76,23160
Lalitpur,2023,250,32,52,22045
Lalitpur,2019,925,68,86,45556
Lalitpur,2019,215,53,98,36970
Lalitpur,2026,557,129,19,5313
Lalitpur,2019,327,31,62,9474
Lalitpur,2021,662,92,40,18883
Lalitpur,2022,959,105,25,24311
Lalitpur,2025,457,81,23,9041
Lalitpur,2025,301,131,52,28583
Lalitpur,2021,51,111,21,26805
Lalitpur,2021,512,106,79,8813
Lalitpur,2025,376,192,91,41404
Lalitpur,2023,424,185,77,35028
Lalitpur,2020,563,71,69,37007
Lalitpur,2024,735,83,20,27459
Lalitpur,2020,533,174,46,32455
Lalitpur,2020,289,23,6,40145
Lalitpur,2021,287,78,77,13343
Lalitpur,2021,831,32,72,46481
Lalitpur,2024,507,186,41,22333
Lalitpur,2023,470,170,6,15681
Lalitpur,2022,231,69,91,43367
Lalitpur,2022,219,42,78,29748
Lalitpur,2024,809,135,47,41399
Lalitpur,2024,443,69,15,39281
Lalitpur,2019,129,122,94,11954
Lalitpur,2019,288,16,35,21429
Lalitpur,2021,369,164,92,47616
Lalitpur,2025,82,57,54,16742
Lalitpur,2023,184,62,46,22495
Lalitpur,2026,740,176,68,16454
Lalitpur,2025,253,130,53,31459
Lalitpur,2020,452,50,27,29331
Lalitpur,2019,749,32,76,5355
Lalitpur,2026,56,178,60,19242
Lalitpur,2020,525,70,56,30386
Lalitpur,2021,145,199,17,43045
Lalitpur,2023,604,35,28,21497
Lalitpur,2019,362,66,96,25361
Lalitpur,2023,122,27,25,41705
Lalitpur,2024,498,126,69,7219
Lalitpur,2026,414,162,31,30123
Lalitpur,2019,786,25,61,26981
Lalitpur,2024,319,38,52,25584
Lalitpur,2019,242,120,54,39818
Lalitpur,2019,236,76,67,36469
Lalitpur,2025,619,123,39,14277
Lalitpur,2019,485,74,28,26222
Lalitpur,2021,847,26,34,35696
Lalitpur,2025,345,46,46,18907
Lalitpur,2019,406,22,63,42006
Lalitpur,2021,569,124,54,15300
Lalitpur,2026,441,86,69,20891
Lalitpur,2019,208,170,62,28018
Lalitpur,2022,447,68,87,17899
Lalitpur,2025,478,165,67,41335
Lalitpur,2025,122,64,5,17453
Lalitpur,2023,153,186,30,48308
Lalitpur,2025,832,188,80,37619
Lalitpur,2021,631,178,86,34860
Lalitpur,2020,521,169,99,12098
Lalitpur,2020,895,127,58,43518
Lalitpur,2026,762,182,10,34958
Lalitpur,2022,540,26,14,49727
Lalitpur,2019,222,132,74,21156
Lalitpur,2020,76,70,95,10592
Lalitpur,2021,520,73,8,22066
Lalitpur,2025,202,124,51,20378
Lalitpur,2019,574,175,35,32959
Lalitpur,2022,504,36,11,5003
Lalitpur,2021,561,35,67,31374
Lalitpur,2025,314,175,97,24353
Lalitpur,2020,510,134,80,17357
Lalitpur,2021,944,113,68,16213
Lalitpur,2021,391,96,76,45116
Lalitpur,2025,482,191,64,44667
Lalitpur,2026,228,99,72,30822
Lalitpur,2020,117,83,89,49647
Lalitpur,2022,272,91,79,23437
Lalitpur,2019,86,88,46,30443
Lalitpur,2021,397,39,8,37826
Lalitpur,2024,744,102,29,12073
Lalitpur,2021,836,113,75,42338
Lalitpur,2021,587,99,8,6250
Lalitpur,2019,831,142,46,35169
Lalitpur,2021,868,148,43,27078
Lalitpur,2026,661,160,72,14167
Lalitpur,2019,339,182,62,32792
Lalitpur,2022,544,127,9,6642
Lalitpur,2020,82,115,48,37293
Lalitpur,2019,815,22,74,32342
Lalitpur,2023,668,66,35,33848
Lalitpur,2023,169,43,87,45276
Lalitpur,2023,605,58,67,43195
Lalitpur,2022,312,167,64,31244
Lalitpur,2019,886,47,87,13082
Lalitpur,2025,185,178,34,42520
Lalitpur,2019,128,143,56,30618
Lalitpur,2025,448,76,99,42912
Lalitpur,2024,422,157,23,30974
Lalitpur,2024,597,36,81,25624
Lalitpur,2023,878,78,7,14106
Lalitpur,2020,944,28,27,20831
Lalitpur,2019,736,99,20,39121
Lalitpur,2021,840,26,88,27470
Lalitpur,2021,354,68,67,32176
Lalitpur,2024,147,69,61,28115
Lalitpur,2022,857,65,24,10546
Lalitpur,2022,451,136,83,6564
Lalitpur,2023,826,80,84,37125
Lalitpur,2023,202,58,34,33359
Lalitpur,2025,626,54,49,29648
Lalitpur,2024,425,181,48,39463
Lalitpur,2026,92,163,27,18722
Lalitpur,2019,403,150,67,33117
Lalitpur,2022,582,84,30,6724
Lalitpur,2025,112,184,18,30056
Lalitpur,2022,364,183,10,32868
Lalitpur,2024,68,156,61,18580
Lalitpur,2026,266,191,71,44973
Lalitpur,2022,402,199,16,5309
Lalitpur,2023,653,180,81,23235
Lalitpur,2020,477,29,22,42094
Lalitpur,2026,407,50,35,46733
Lalitpur,2021,424,160,30,5009
Lalitpur,2021,791,27,43,9563
Lalitpur,2020,461,50,60,47003
Lalitpur,2023,140,56,97,13483
Lalitpur,2025,288,125,22,8201
Lalitpur,2026,835,124,99,12954
Lalitpur,2022,722,150,61,28535
Lalitpur,2026,649,165,40,47455
Lalitpur,2026,551,137,30,29400
Lalitpur,2023,325,41,70,39129
Lalitpur,2025,225,186,12,33949
Lalitpur,2023,664,108,87,11642
Lalitpur,2020,459,44,68,19915
Lalitpur,2021,270,46,47,20645
Lalitpur,2025,344,10,98,41302
Lalitpur,2024,316,110,42,18755
Lalitpur,2021,294,151,30,42675
Lalitpur,2023,947,160,88,13954
Lalitpur,2022,522,113,83,23719
Lalitpur,2025,454,88,25,38722
Lalitpur,2019,915,64,6,31034
Lalitpur,2026,443,174,14,7632
Lalitpur,2019,352,185,56,19609
Lalitpur,2020,685,20,52,38518
Lalitpur,2021,273,190,73,30656
Lalitpur,2019,690,186,89,45083
Lalitpur,2023,690,155,15,49613
Lalitpur,2022,664,151,61,44642
Lalitpur,2022,372,16,96,23306
Lalitpur,2022,244,54,59,17107
Lalitpur,2019,937,101,95,5200
Lalitpur,2024,890,46,18,45750
Lalitpur,2020,292,29,68,39522
