Event_ID,Province,Year,Month,Event_Type,Intensity,CO2_Equivalent_Mt
EV_022957,Gandaki,2024,December,Construction,5,4.2
EV_036600,Gandaki,2021,June,Crop Burning,5,4.78
EV_088756,Gandaki,2023,June,Construction,5,4.2
EV_092396,Gandaki,2026,November,Crop Burning,5,3.34
EV_010708,Gandaki,2020,October,Dust Storm,5,4.47
EV_035467,Gandaki,2023,June,Forest Fire,5,4.98
EV_091655,Gandaki,2023,January,Crop Burning,5,1.03
EV_022514,Gandaki,2020,February,Factory Emission,5,4.0
EV_034612,Gandaki,2023,January,Forest Fire,5,4.22
EV_061204,Gandaki,2022,September,Crop Burning,5,1.98
EV_065775,Gandaki,2022,March,Factory Emission,5,3.85
EV_028894,Gandaki,2022,March,Crop Burning,5,3.68
EV_083893,Gandaki,2025,July,Construction,5,2.29
EV_027837,Gandaki,2019,February,Forest Fire,5,4.67
EV_003300,Gandaki,2023,July,Forest Fire,5,3.02
EV_060736,Gandaki,2021,May,Factory Emission,5,2.73
EV_020264,Gandaki,2019,May,Forest Fire,5,1.65
EV_048142,Gandaki,2023,December,Factory Emission,5,2.58
EV_082228,Gandaki,2025,August,Dust Storm,5,1.95
EV_039017,Gandaki,2019,May,Factory Emission,5,2.54
EV_003403,Gandaki,2023,June,Forest Fire,5,3.97
EV_074258,Gandaki,2026,August,Factory Emission,5,2.19
EV_079074,Gandaki,2022,May,Factory Emission,5,1.2
EV_090518,Gandaki,2024,December,Factory Emission,5,1.69
EV_078031,Gandaki,2021,July,Construction,5,0.98
EV_012539,Gandaki,2026,October,Crop Burning,5,3.5
EV_016766,Gandaki,2019,January,Construction,5,0.67
EV_027539,Gandaki,2024,November,Forest Fire,5,0.22
EV_006015,Gandaki,2025,February,Dust Storm,5,2.11
EV_063851,Gandaki,2023,December,Dust Storm,5,4.47
EV_014603,Gandaki,2019,January,Dust Storm,5,4.71
EV_060310,Gandaki,2025,June,Construction,5,2.97
EV_023987,Gandaki,2019,November,Factory Emission,5,2.51
EV_006094,Gandaki,2019,September,Crop Burning,5,2.89
EV_037805,Gandaki,2026,July,Construction,5,4.77
EV_083049,Gandaki,2021,September,Crop Burning,5,3.81
EV_061917,Gandaki,2026,July,Crop Burning,5,1.93
EV_066114,Gandaki,2026,August,Forest Fire,5,4.06
EV_035134,Gandaki,2019,November,Crop Burning,5,4.6
EV_030553,Gandaki,2022,December,Construction,5,2.21
EV_023514,Gandaki,2019,January,Forest Fire,5,1.13
EV_025280,Gandaki,2022,June,Dust Storm,5,3.57
EV_066501,Gandaki,2026,June,Crop Burning,5,2.24
EV_045700,Gandaki,2025,August,Factory Emission,5,1.64
EV_059055,Gandaki,2021,July,Crop Burning,5,1.27
EV_032034,Gandaki,2020,February,Forest Fire,5,1.13
EV_018127,Gandaki,2019,October,Factory Emission,5,4.45
EV_020043,Gandaki,2019,June,Forest Fire,5,2.23
EV_012795,Gandaki,2021,November,Factory Emission,5,2.08
EV_045734,Gandaki,2025,July,Construction,5,3.84
EV_032167,Gandaki,2023,August,Factory Emission,5,0.89
EV_035325,Gandaki,2019,January,Forest Fire,5,4.4
EV_067615,Gandaki,2020,April,Construction,5,3.13
EV_078594,Gandaki,2025,September,Factory Emission,5,4.17
EV_008285,Gandaki,2023,August,Factory Emission,5,0.88
EV_088577,Gandaki,2020,May,Construction,5,4.51
EV_079472,Gandaki,2020,June,Factory Emission,5,4.8
EV_031467,Gandaki,2023,October,Crop Burning,5,3.4
EV_086907,Gandaki,2023,March,Forest Fire,5,0.6
EV_023792,Gandaki,2020,December,Construction,5,2.51
EV_023515,Gandaki,2023,December,Factory Emission,5,1.65
EV_002789,Gandaki,2023,June,Factory Emission,5,3.89
EV_007591,Gandaki,2026,July,Crop Burning,5,3.7
EV_038335,Gandaki,2024,July,Dust Storm,5,2.08
EV_014776,Gandaki,2025,October,Forest Fire,5,3.33
EV_069105,Gandaki,2026,January,Construction,5,1.99
EV_089400,Gandaki,2026,October,Factory Emission,5,2.97
EV_059922,Gandaki,2019,July,Dust Storm,5,4.69
EV_003078,Gandaki,2025,November,Dust Storm,5,2.9
EV_022718,Gandaki,2020,June,Crop Burning,5,4.94
EV_096378,Gandaki,2024,February,Forest Fire,5,1.77
EV_002440,Gandaki,2020,November,Forest Fire,5,3.57
EV_082469,Gandaki,2021,April,Dust Storm,5,4.44
EV_045411,Gandaki,2021,June,Factory Emission,5,2.79
EV_090446,Gandaki,2022,November,Dust Storm,5,0.88
EV_048836,Gandaki,2019,April,Crop Burning,5,1.95
EV_026902,Gandaki,2023,December,Crop Burning,5,3.38
EV_050045,Gandaki,2022,July,Factory Emission,5,2.77
EV_094465,Gandaki,2023,July,Crop Burning,5,2.41
EV_051824,Gandaki,2019,December,Factory Emission,5,3.07
EV_005715,Gandaki,2022,August,Dust Storm,5,4.24
EV_042193,Gandaki,2026,May,Factory Emission,5,4.97
EV_096750,Gandaki,2019,September,Forest Fire,5,4.84
EV_068569,Gandaki,2024,July,Dust Storm,5,0.56
EV_067597,Gandaki,2023,June,Construction,5,3.7
EV_032366,Gandaki,2021,December,Factory Emission,5,4.5
EV_022390,Gandaki,2024,April,Construction,5,3.21
EV_008109,Gandaki,2023,September,Dust Storm,5,3.38
EV_091391,Gandaki,2024,September,Crop Burning,5,0.71
EV_059149,Gandaki,2026,July,Crop Burning,5,4.51
EV_051513,Gandaki,2024,April,Construction,5,1.11
EV_017093,Gandaki,2023,May,Factory Emission,5,3.81
EV_062983,Gandaki,2024,June,Forest Fire,5,2.71
EV_088037,Gandaki,2020,April,Dust Storm,5,0.27
EV_021070,Gandaki,2025,May,Forest Fire,5,0.93
EV_013628,Gandaki,2020,July,Dust Storm,5,4.95
EV_045319,Gandaki,2026,November,Crop Burning,5,1.57
EV_084782,Gandaki,2023,September,Forest Fire,5,1.29
EV_052842,Gandaki,2025,May,Crop Burning,5,2.21
EV_006614,Gandaki,2020,February,Dust Storm,5,2.92
EV_075993,Gandaki,2021,October,Crop Burning,5,0.53
EV_092140,Gandaki,2025,August,Forest Fire,5,4.17
EV_040354,Gandaki,2026,July,Factory Emission,5,2.33
EV_033709,Gandaki,2021,January,Crop Burning,5,1.26
EV_038834,Gandaki,2021,February,Construction,5,0.55
EV_064218,Gandaki,2020,July,Dust Storm,5,2.06
EV_051797,Gandaki,2019,June,Forest Fire,5,0.53
EV_057198,Gandaki,2023,July,Factory Emission,5,3.06
EV_024039,Gandaki,2021,June,Dust Storm,5,1.4
EV_047107,Gandaki,2023,August,Forest Fire,5,2.14
EV_031292,Gandaki,2022,January,Crop Burning,5,1.54
EV_096111,Gandaki,2024,October,Dust Storm,5,3.06
EV_097100,Gandaki,2023,May,Dust Storm,5,3.07
EV_057658,Gandaki,2024,January,Dust Storm,5,2.25
EV_081678,Gandaki,2025,December,Factory Emission,5,3.25
EV_076080,Gandaki,2022,May,Factory Emission,5,2.67
EV_056458,Gandaki,2026,July,Factory Emission,5,4.73
EV_024476,Gandaki,2022,April,Construction,5,1.92
EV_073166,Gandaki,2023,September,Dust Storm,5,0.86
EV_076100,Gandaki,2019,February,Forest Fire,5,4.78
EV_052614,Gandaki,2026,June,Forest Fire,5,1.5
EV_026962,Gandaki,2019,September,Factory Emission,5,1.37
EV_091600,Gandaki,2025,November,Forest Fire,5,3.09
EV_060827,Gandaki,2023,March,Dust Storm,5,3.16
EV_017050,Gandaki,2024,October,Dust Storm,5,1.23
EV_055479,Gandaki,2025,June,Factory Emission,5,0.91
EV_058904,Gandaki,2021,March,Dust Storm,5,0.8
EV_009398,Gandaki,2026,September,Factory Emission,5,1.17
EV_040275,Gandaki,2024,May,Factory Emission,5,3.04
EV_028915,Gandaki,2022,March,Factory Emission,5,3.88
EV_034099,Gandaki,2024,April,Crop Burning,5,4.97
EV_073419,Gandaki,2019,January,Construction,5,4.19
EV_069403,Gandaki,2022,May,Factory Emission,5,3.34
EV_078381,Gandaki,2019,December,Factory Emission,5,2.93
EV_002578,Gandaki,2020,November,Dust Storm,5,3.45
EV_093377,Gandaki,2019,May,Crop Burning,5,2.44
EV_064460,Gandaki,2021,October,Construction,5,3.21
EV_077681,Gandaki,2019,June,Construction,5,4.28
EV_066756,Gandaki,2025,March,Forest Fire,5,2.61
EV_033877,Gandaki,2022,July,Crop Burning,5,1.07
EV_035342,Gandaki,2020,December,Dust Storm,5,4.78
EV_081626,Gandaki,2019,October,Crop Burning,5,0.56
EV_089521,Gandaki,2021,February,Crop Burning,5,2.37
EV_040338,Gandaki,2026,June,Dust Storm,5,4.93
EV_071675,Gandaki,2020,April,Forest Fire,5,4.51
EV_095468,Gandaki,2023,June,Forest Fire,5,3.59
EV_067333,Gandaki,2019,November,Dust Storm,5,0.53
EV_050072,Gandaki,2020,March,Dust Storm,5,4.0
EV_061098,Gandaki,2021,December,Construction,5,0.62
EV_065001,Gandaki,2025,September,Factory Emission,5,1.4
EV_046482,Gandaki,2025,January,Construction,5,2.88
EV_087616,Gandaki,2021,December,Factory Emission,5,0.36
EV_085623,Gandaki,2019,May,Construction,5,0.2
EV_087411,Gandaki,2022,October,Factory Emission,5,2.54
EV_094408,Gandaki,2024,October,Crop Burning,5,2.67
EV_019645,Gandaki,2024,April,Factory Emission,5,1.46
EV_065345,Gandaki,2026,February,Crop Burning,5,2.52
EV_088851,Gandaki,2020,June,Forest Fire,5,3.47
EV_070092,Gandaki,2025,July,Construction,5,1.74
EV_095485,Gandaki,2020,October,Dust Storm,5,0.42
EV_071196,Gandaki,2020,February,Factory Emission,5,1.32
EV_044564,Gandaki,2026,April,Dust Storm,5,0.57
EV_075704,Gandaki,2020,November,Construction,5,4.62
EV_043277,Gandaki,2025,October,Construction,5,0.92
EV_099192,Gandaki,2019,September,Construction,5,4.98
EV_071388,Gandaki,2020,August,Dust Storm,5,0.34
EV_076589,Gandaki,2022,February,Crop Burning,5,2.03
EV_056715,Gandaki,2026,January,Crop Burning,5,2.23
EV_044965,Gandaki,2025,August,Dust Storm,5,2.91
EV_071967,Gandaki,2023,September,Forest Fire,5,0.9
EV_006270,Gandaki,2021,February,Dust Storm,5,4.05
EV_058428,Gandaki,2023,November,Factory Emission,5,4.45
EV_067242,Gandaki,2020,October,Forest Fire,5,4.27
EV_057265,Gandaki,2021,August,Dust Storm,5,4.88
EV_096786,Gandaki,2023,January,Crop Burning,5,0.3
EV_059402,Gandaki,2025,August,Construction,5,3.4
EV_077250,Gandaki,2025,October,Dust Storm,5,4.34
EV_074579,Gandaki,2021,July,Factory Emission,5,3.3
EV_092228,Gandaki,2024,December,Dust Storm,5,3.95
EV_024773,Gandaki,2020,June,Crop Burning,5,3.41
EV_025047,Gandaki,2020,January,Crop Burning,5,4.56
EV_023901,Gandaki,2019,September,Dust Storm,5,2.8
EV_041275,Gandaki,2024,May,Factory Emission,5,0.11
EV_002525,Gandaki,2022,May,Factory Emission,5,1.81
EV_078725,Gandaki,2020,May,Forest Fire,5,3.53
EV_095983,Gandaki,2026,June,Crop Burning,5,0.56
EV_007302,Gandaki,2025,July,Crop Burning,5,1.69
EV_064704,Gandaki,2025,November,Dust Storm,5,4.82
EV_004584,Gandaki,2026,March,Forest Fire,5,1.53
EV_005534,Gandaki,2020,August,Factory Emission,5,2.17
EV_068501,Gandaki,2026,July,Factory Emission,5,4.69
EV_049758,Gandaki,2021,May,Construction,5,2.27
EV_012028,Gandaki,2020,March,Forest Fire,5,4.49
EV_087701,Gandaki,2024,November,Forest Fire,5,2.98
EV_054011,Gandaki,2025,October,Dust Storm,5,2.52
EV_076404,Gandaki,2023,February,Factory Emission,5,1.87
EV_025128,Gandaki,2021,January,Construction,5,1.89
EV_025099,Gandaki,2020,November,Forest Fire,5,3.47
EV_023162,Gandaki,2019,August,Factory Emission,5,0.68
EV_039879,Gandaki,2020,January,Crop Burning,5,3.14
EV_044417,Gandaki,2023,July,Factory Emission,5,4.06
EV_079775,Gandaki,2022,March,Forest Fire,5,0.86
EV_069619,Gandaki,2021,September,Construction,5,1.21
EV_062718,Gandaki,2026,October,Factory Emission,5,1.51
EV_032222,Gandaki,2019,December,Dust Storm,5,3.03
EV_055515,Gandaki,2023,March,Forest Fire,5,1.27
EV_021987,Gandaki,2025,July,Crop Burning,5,2.66
EV_011796,Gandaki,2021,February,Factory Emission,5,4.21
EV_036079,Gandaki,2025,February,Construction,5,4.89
EV_071473,Gandaki,2019,June,Forest Fire,5,3.43
EV_074325,Gandaki,2023,November,Crop Burning,5,2.92
EV_035939,Gandaki,2021,December,Crop Burning,5,2.98
EV_078855,Gandaki,2025,June,Crop Burning,5,3.84
EV_049973,Gandaki,2022,December,Construction,5,4.47
EV_035530,Gandaki,2026,July,Crop Burning,5,1.48
EV_025384,Gandaki,2021,September,Crop Burning,5,0.95
EV_005149,Gandaki,2020,April,Factory Emission,5,3.78
EV_026599,Gandaki,2020,May,Crop Burning,5,4.77
EV_081991,Gandaki,2021,November,Forest Fire,5,3.55
EV_018286,Gandaki,2020,May,Forest Fire,5,2.52
EV_011420,Gandaki,2021,November,Dust Storm,5,2.48
EV_033100,Gandaki,2023,July,Construction,5,1.17
EV_043562,Gandaki,2022,February,Factory Emission,5,0.85
EV_052491,Gandaki,2020,May,Forest Fire,5,3.23
EV_018105,Gandaki,2023,July,Factory Emission,5,2.11
EV_081403,Gandaki,2019,February,Factory Emission,5,1.22
EV_085043,Gandaki,2022,September,Dust Storm,5,4.69
EV_079339,Gandaki,2025,June,Factory Emission,5,3.08
EV_050773,Gandaki,2024,March,Crop Burning,5,0.82
EV_005665,Gandaki,2020,May,Forest Fire,5,2.29
EV_094698,Gandaki,2023,November,Forest Fire,5,2.21
EV_029073,Gandaki,2024,November,Forest Fire,5,1.65
EV_069311,Gandaki,2022,April,Dust Storm,5,3.94
EV_057024,Gandaki,2022,June,Construction,5,0.52
EV_027660,Gandaki,2022,December,Construction,5,0.93
EV_062749,Gandaki,2025,November,Factory Emission,5,2.57
EV_046691,Gandaki,2023,May,Factory Emission,5,3.37
EV_075625,Gandaki,2026,May,Construction,5,3.7
EV_022453,Gandaki,2023,March,Forest Fire,5,1.85
EV_063190,Gandaki,2019,March,Crop Burning,5,4.31
EV_027821,Gandaki,2025,February,Crop Burning,5,4.35
EV_092428,Gandaki,2022,April,Crop Burning,5,2.76
EV_041306,Gandaki,2024,March,Factory Emission,5,4.44
EV_047820,Gandaki,2021,January,Construction,5,4.04
EV_035636,Gandaki,2020,February,Crop Burning,5,1.04
EV_085056,Gandaki,2025,March,Construction,5,0.73
EV_050077,Gandaki,2019,January,Crop Burning,5,4.16
EV_004464,Gandaki,2020,November,Dust Storm,5,2.38
EV_078052,Gandaki,2022,October,Construction,5,3.97
EV_018069,Gandaki,2023,May,Forest Fire,5,3.56
EV_063188,Gandaki,2026,April,Dust Storm,5,4.33
EV_083472,Gandaki,2025,April,Factory Emission,5,0.64
EV_075803,Gandaki,2019,June,Forest Fire,5,4.38
EV_013450,Gandaki,2023,March,Crop Burning,5,4.7
EV_059862,Gandaki,2026,December,Forest Fire,5,3.71
EV_088348,Gandaki,2021,August,Dust Storm,5,3.4
EV_042092,Gandaki,2025,January,Crop Burning,5,0.47
EV_048412,Gandaki,2025,March,Dust Storm,5,0.14
EV_045204,Gandaki,2020,June,Construction,5,0.63
EV_087068,Gandaki,2025,December,Forest Fire,5,1.64
EV_014493,Gandaki,2021,February,Forest Fire,5,4.71
EV_054227,Gandaki,2019,February,Forest Fire,5,2.22
EV_052717,Gandaki,2024,December,Construction,5,0.22
EV_057840,Gandaki,2026,April,Forest Fire,5,1.4
EV_069588,Gandaki,2019,November,Crop Burning,5,4.64
EV_065787,Gandaki,2024,June,Crop Burning,5,1.06
EV_026646,Gandaki,2021,February,Construction,5,0.7
EV_045144,Gandaki,2022,May,Forest Fire,5,1.12
EV_034880,Gandaki,2023,August,Factory Emission,5,3.53
EV_074985,Gandaki,2019,December,Construction,5,3.71
EV_032879,Gandaki,2026,May,Crop Burning,5,1.96
EV_052672,Gandaki,2026,November,Factory Emission,5,3.4
EV_046069,Gandaki,2021,April,Construction,5,3.01
EV_005577,Gandaki,2026,January,Construction,5,3.17
EV_063606,Gandaki,2024,August,Factory Emission,5,3.78
EV_032023,Gandaki,2024,February,Construction,5,0.25
EV_003139,Gandaki,2021,January,Dust Storm,5,4.56
EV_036485,Gandaki,2023,September,Factory Emission,5,3.44
EV_052807,Gandaki,2020,April,Dust Storm,5,2.98
EV_084886,Gandaki,2022,April,Factory Emission,5,0.24
EV_001398,Gandaki,2023,September,Crop Burning,5,1.89
EV_061927,Gandaki,2023,May,Construction,5,3.65
EV_061906,Gandaki,2020,June,Crop Burning,5,3.75
EV_032105,Gandaki,2020,May,Crop Burning,5,2.22
EV_023115,Gandaki,2024,July,Crop Burning,5,1.02
EV_075870,Gandaki,2025,April,Dust Storm,5,0.46
EV_082179,Gandaki,2019,December,Forest Fire,5,2.91
EV_092394,Gandaki,2025,February,Dust Storm,5,1.03
EV_068816,Gandaki,2026,July,Crop Burning,5,4.3
